[NEW ABV] Doesn't exist abreviation for 
[NEW ABV] Doesn't exist abreviation for )
[NEW ABV] Doesn't exist abreviation for 00733-2009-058-19-00-4
[NEW ABV] Doesn't exist abreviation for 00748-2009-058-19-00-2
[NEW ABV] Doesn't exist abreviation for ACTE.(S)
[NEW ABV] Doesn't exist abreviation for A D V. ( A / S )
[NEW ABV] Doesn't exist abreviation for ADV.(A/S
[NEW ABV] Doesn't exist abreviation for ADV. DAT.
[NEW ABV] Doesn't exist abreviation for ADV.DAT.(A/S)
[NEW ABV] Doesn't exist abreviation for ADV.DATVA
[NEW ABV] Doesn't exist abreviation for ADV.LIT.
[NEW ABV] Doesn't exist abreviation for ADV.LIT.(A/S)
[NEW ABV] Doesn't exist abreviation for AM. CURIAE.
[NEW ABV] Doesn't exist abreviation for APDA.
[NEW ABV] Doesn't exist abreviation for APDO.
[NEW ABV] Doesn't exist abreviation for APDO.(A/S)
[NEW ABV] Doesn't exist abreviation for APDOS.
[NEW ABV] Doesn't exist abreviation for APTE.
[NEW ABV] Doesn't exist abreviation for APTE.(S)
[NEW ABV] Doesn't exist abreviation for ARGDA.
[NEW ABV] Doesn't exist abreviation for ARGDO.
[NEW ABV] Doesn't exist abreviation for ARGDO.(A/S)
[NEW ABV] Doesn't exist abreviation for ARGDOS.
[NEW ABV] Doesn't exist abreviation for ARGTE.
[NEW ABV] Doesn't exist abreviation for ARGTE.(S)
[NEW ABV] Doesn't exist abreviation for ARGTES.
[NEW ABV] Doesn't exist abreviation for .(A/S)
[NEW ABV] Doesn't exist abreviation for ASSIST.
[NEW ABV] Doesn't exist abreviation for ASSIST.(S)
[NEW ABV] Doesn't exist abreviation for ASS.LIT.
[NEW ABV] Doesn't exist abreviation for AUT.COAT.
[NEW ABV] Doesn't exist abreviation for AUTOR
[NEW ABV] Doesn't exist abreviation for AUTORA
[NEW ABV] Doesn't exist abreviation for AUTORAS
[NEW ABV] Doesn't exist abreviation for AUTOR(A/S)(ES)
[NEW ABV] Doesn't exist abreviation for COATOR
[NEW ABV] Doesn't exist abreviation for COATOR(A/S)(ES)
[NEW ABV] Doesn't exist abreviation for COATORES
