Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | MS 24268  | ELLEN GRACIE   | N | 0.351318
 2    | MI 529    | CARLOS VELLOSO | S | 0.234216
 3    | ADI 3013  | ELLEN GRACIE   | S | 0.234203
 4    | ADI 1141  | ELLEN GRACIE   | N | 0.000261
 5    | HC 81905  | ELLEN GRACIE   | N | 0.000259
 6    | AR 1713   | ELLEN GRACIE   | N | 0.000229
 7    | ADI 3105  | ELLEN GRACIE   | N | 0.000184
 8    | ADI 2031  | ELLEN GRACIE   | N | 0.000162
 9    | RE 363328 | ELLEN GRACIE   | N | 0.000135
 10   | RE 351611 | ELLEN GRACIE   | S | 0.000108
 11   | RE 275159 | ELLEN GRACIE   | N | 0.000108
 12   | HC 85155  | ELLEN GRACIE   | N | 0.000101
 13   | HC 86647  | ELLEN GRACIE   | N | 0.000099
 14   | RE 463629 | ELLEN GRACIE   | N | 0.000094
 15   | ACO 889   | ELLEN GRACIE   | N | 0.000081
 16   | HC 82149  | ELLEN GRACIE   | N | 0.000081
 17   | RMS 23692 | ELLEN GRACIE   | N | 0.000081
 18   | HC 86241  | ELLEN GRACIE   | N | 0.000081
 19   | HC 98015  | ELLEN GRACIE   | N | 0.000072
 20   | RHC 86951 | ELLEN GRACIE   | N | 0.000067
 21   | RHC 81057 | ELLEN GRACIE   | N | 0.000067
 22   | ADI 3128  | ELLEN GRACIE   | N | 0.000063
 23   | ADI 872   | ELLEN GRACIE   | N | 0.000054
 24   | HC 82155  | ELLEN GRACIE   | N | 0.000054
 25   | RMS 24551 | ELLEN GRACIE   | N | 0.000054
 26   | MS 23261  | ELLEN GRACIE   | N | 0.000054
 27   | RE 586453 | ELLEN GRACIE   | N | 0.000054
 28   | HC 83967  | ELLEN GRACIE   | N | 0.000054
 29   | HC 80867  | ELLEN GRACIE   | N | 0.000054
 30   | HC 88707  | ELLEN GRACIE   | N | 0.000054
 31   | HC 90125  | ELLEN GRACIE   | N | 0.000054
 32   | RHC 93248 | ELLEN GRACIE   | N | 0.000040
 33   | HC 94828  | ELLEN GRACIE   | N | 0.000040
 34   | HC 94847  | ELLEN GRACIE   | N | 0.000040
 35   | RE 336680 | ELLEN GRACIE   | N | 0.000040
 36   | HC 84032  | ELLEN GRACIE   | N | 0.000040
 37   | RE 300220 | ELLEN GRACIE   | N | 0.000040
 38   | RE 223904 | ELLEN GRACIE   | N | 0.000040
 39   | RE 464621 | ELLEN GRACIE   | N | 0.000040
 40   | ADI 703   | ELLEN GRACIE   | N | 0.000040
 41   | HC 94583  | ELLEN GRACIE   | N | 0.000040
 42   | ADI 2713  | ELLEN GRACIE   | N | 0.000040
 43   | RE 347825 | ELLEN GRACIE   | N | 0.000036
 44   | HC 83241  | ELLEN GRACIE   | S | 0.000036
 45   | HC 86618  | ELLEN GRACIE   | N | 0.000034
 46   | RE 228683 | ELLEN GRACIE   | S | 0.000034
 47   | ADI 2666  | ELLEN GRACIE   | N | 0.000034
 48   | RHC 95108 | ELLEN GRACIE   | N | 0.000027
 49   | HC 91661  | ELLEN GRACIE   | N | 0.000027
 50   | ADI 2474  | ELLEN GRACIE   | N | 0.000027
 51   | HC 89976  | ELLEN GRACIE   | N | 0.000027
 52   | RHC 97477 | ELLEN GRACIE   | N | 0.000027
 53   | RE 463028 | ELLEN GRACIE   | N | 0.000027
 54   | MS 24312  | ELLEN GRACIE   | N | 0.000027
 55   | RE 199198 | ELLEN GRACIE   | N | 0.000027
 56   | RHC 80757 | ELLEN GRACIE   | N | 0.000027
 57   | HC 96579  | ELLEN GRACIE   | N | 0.000027
 58   | RE 223796 | ELLEN GRACIE   | N | 0.000027
 59   | AI 759450 | ELLEN GRACIE   | N | 0.000027
 60   | RHC 91070 | ELLEN GRACIE   | N | 0.000027
 61   | ADI 2396  | ELLEN GRACIE   | N | 0.000027
 62   | HC 84771  | ELLEN GRACIE   | N | 0.000027
 63   | HC 82588  | ELLEN GRACIE   | N | 0.000027
 64   | HC 81214  | ELLEN GRACIE   | N | 0.000027
 65   | RE 206069 | ELLEN GRACIE   | N | 0.000027
 66   | RE 251772 | ELLEN GRACIE   | N | 0.000027
 67   | HC 85877  | ELLEN GRACIE   | N | 0.000027
 68   | ADI 3685  | ELLEN GRACIE   | N | 0.000027
 69   | HC 93972  | ELLEN GRACIE   | N | 0.000027
 70   | HC 82739  | ELLEN GRACIE   | N | 0.000027
 71   | ADI 1541  | ELLEN GRACIE   | N | 0.000027
 72   | RE 536486 | ELLEN GRACIE   | N | 0.000027
 73   | HC 97344  | ELLEN GRACIE   | N | 0.000027
 74   | ADI 2994  | ELLEN GRACIE   | N | 0.000027
