Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | RE 396266 | CARLOS VELLOSO     | N | 0.260195
 2    | MI 529    | CARLOS VELLOSO     | S | 0.060046
 3    | ADI 678   | CARLOS VELLOSO     | N | 0.048630
 4    | HC 80837  | CELSO DE MELLO     | N | 0.044034
 5    | HC 80721  | NÉRI DA SILVEIRA   | N | 0.044034
 6    | MS 23061  | SEPÚLVEDA PERTENCE | S | 0.040031
 7    | ADI 1991  | EROS GRAU          | N | 0.037871
 8    | ADI 1399  | MAURÍCIO CORRÊA    | N | 0.037869
 9    | ADI 703   | ELLEN GRACIE       | N | 0.036474
 10   | ADI 743   | ELLEN GRACIE       | N | 0.024316
 11   | HC 81231  | NÉRI DA SILVEIRA   | N | 0.020017
 12   | ADI 990   | SYDNEY SANCHES     | N | 0.020017
 13   | RHC 81796 | NÉRI DA SILVEIRA   | N | 0.020017
 14   | ADI 1654  | MAURÍCIO CORRÊA    | N | 0.020017
 15   | ADI 1040  | NÉRI DA SILVEIRA   | N | 0.020017
 16   | ADI 1893  | CARLOS VELLOSO     | N | 0.020017
 17   | RE 279872 | SEPÚLVEDA PERTENCE | N | 0.020017
 18   | HC 81162  | MOREIRA ALVES      | N | 0.020017
 19   | RE 317903 | SEPÚLVEDA PERTENCE | N | 0.020017
 20   | RE 258980 | ILMAR GALVÃO       | N | 0.000652
 21   | ADI 2158  | DIAS TOFFOLI       | N | 0.000642
 22   | RE 347825 | ELLEN GRACIE       | N | 0.000530
 23   | RE 318644 | ILMAR GALVÃO       | S | 0.000529
 24   | RE 291188 | SEPÚLVEDA PERTENCE | N | 0.000503
 25   | RE 313382 | MAURÍCIO CORRÊA    | N | 0.000494
 26   | RE 290079 | ILMAR GALVÃO       | N | 0.000482
 27   | ADC 4     | SYDNEY SANCHES     | N | 0.000402
 28   | RE 298694 | SEPÚLVEDA PERTENCE | N | 0.000239
 29   | RE 298616 | GILMAR MENDES      | N | 0.000208
 30   | RE 343446 | CARLOS VELLOSO     | N | 0.000203
 31   | RE 298695 | SEPÚLVEDA PERTENCE | N | 0.000203
 32   | RE 206048 | MARCO AURÉLIO      | N | 0.000155
 33   | ADI 2031  | ELLEN GRACIE       | N | 0.000150
 34   | RE 201465 | MARCO AURÉLIO      | N | 0.000131
 35   | RE 351717 | CARLOS VELLOSO     | N | 0.000122
 36   | RE 298175 | MOREIRA ALVES      | S | 0.000115
 37   | RE 204193 | CARLOS VELLOSO     | N | 0.000105
 38   | RCL 846   | MARCO AURÉLIO      | N | 0.000104
 39   | RE 202700 | MAURÍCIO CORRÊA    | N | 0.000099
 40   | HC 81409  | NELSON JOBIM       | S | 0.000097
 41   | HC 81288  | MAURÍCIO CORRÊA    | N | 0.000095
 42   | RE 376846 | CARLOS VELLOSO     | N | 0.000090
 43   | RE 272872 | ILMAR GALVÃO       | N | 0.000087
 44   | RE 255858 | ILMAR GALVÃO       | N | 0.000081
 45   | IF 3601   | MARCO AURÉLIO      | N | 0.000073
 46   | RE 204735 | CARLOS VELLOSO     | N | 0.000066
 47   | ADI 1662  | MAURÍCIO CORRÊA    | N | 0.000065
 48   | RE 453740 | GILMAR MENDES      | N | 0.000059
 49   | HC 81380  | MAURÍCIO CORRÊA    | N | 0.000056
 50   | RE 287297 | ILMAR GALVÃO       | N | 0.000050
 51   | ACO 471   | SYDNEY SANCHES     | N | 0.000047
 52   | ADI 668   | DIAS TOFFOLI       | N | 0.000039
 53   | ADI 1922  | JOAQUIM BARBOSA    | N | 0.000038
 54   | IF 2915   | MARCO AURÉLIO      | N | 0.000037
 55   | RE 237718 | SEPÚLVEDA PERTENCE | N | 0.000035
 56   | RE 194382 | MAURÍCIO CORRÊA    | N | 0.000033
 57   | ADI 2115  | ILMAR GALVÃO       | N | 0.000031
 58   | RE 189170 | MARCO AURÉLIO      | N | 0.000031
 59   | RMS 24651 | MARCO AURÉLIO      | N | 0.000029
 60   | ADI 2061  | ILMAR GALVÃO       | N | 0.000028
 61   | RE 401436 | CARLOS VELLOSO     | N | 0.000025
 62   | RE 346084 | ILMAR GALVÃO       | N | 0.000024
 63   | ADI 1851  | ILMAR GALVÃO       | N | 0.000024
 64   | HC 81611  | SEPÚLVEDA PERTENCE | N | 0.000021
 65   | RE 305186 | ILMAR GALVÃO       | N | 0.000021
 66   | RCL 1987  | MAURÍCIO CORRÊA    | N | 0.000021
 67   | RE 311292 | MOREIRA ALVES      | N | 0.000021
 68   | RE 312141 | MOREIRA ALVES      | S | 0.000021
 69   | RE 312934 | MOREIRA ALVES      | S | 0.000021
 70   | RE 291487 | MOREIRA ALVES      | N | 0.000020
 71   | RE 244293 | ILMAR GALVÃO       | N | 0.000020
 72   | ADI 1976  | JOAQUIM BARBOSA    | N | 0.000019
 73   | RE 268488 | MOREIRA ALVES      | N | 0.000019
 74   | RCL 1015  | NÉRI DA SILVEIRA   | N | 0.000018
 75   | RCL 1067  | ELLEN GRACIE       | N | 0.000018
 76   | RCL 1122  | NÉRI DA SILVEIRA   | N | 0.000017
 77   | RE 288304 | ILMAR GALVÃO       | N | 0.000016
 78   | ADI 1878  | ILMAR GALVÃO       | N | 0.000016
 79   | HC 80659  | MAURÍCIO CORRÊA    | N | 0.000016
 80   | RE 254871 | ILMAR GALVÃO       | S | 0.000016
 81   | ADI 2064  | MAURÍCIO CORRÊA    | N | 0.000015
 82   | ADI 872   | ELLEN GRACIE       | N | 0.000015
 83   | RE 349160 | SEPÚLVEDA PERTENCE | N | 0.000015
 84   | ADI 2107  | ILMAR GALVÃO       | N | 0.000014
 85   | ADI 1571  | GILMAR MENDES      | N | 0.000014
 86   | RE 207260 | CARLOS VELLOSO     | S | 0.000014
 87   | ADI 2189  | DIAS TOFFOLI       | N | 0.000014
 88   | RE 361518 | ELLEN GRACIE       | N | 0.000014
 89   | HC 80631  | MOREIRA ALVES      | N | 0.000014
 90   | RCL 997   | MARCO AURÉLIO      | N | 0.000013
 91   | HC 82105  | CARLOS VELLOSO     | N | 0.000013
 92   | RE 244697 | ELLEN GRACIE       | N | 0.000013
 93   | ADI 1143  | ILMAR GALVÃO       | N | 0.000013
 94   | HC 81332  | NÉRI DA SILVEIRA   | N | 0.000013
 95   | SEC 6304  | SEPÚLVEDA PERTENCE | N | 0.000012
 96   | RE 251238 | MARCO AURÉLIO      | N | 0.000012
 97   | RMS 23458 | MARCO AURÉLIO      | N | 0.000012
 98   | ADI 1472  | ILMAR GALVÃO       | N | 0.000012
 99   | ADI 892   | SEPÚLVEDA PERTENCE | N | 0.000012
 100  | RE 259756 | MARCO AURÉLIO      | N | 0.000011


Iteração 2
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 ADI 1399  | MAURÍCIO CORRÊA    | N
 ADI 703   | ELLEN GRACIE       | N
 RE 347825 | ELLEN GRACIE       | N
 RE 313382 | MAURÍCIO CORRÊA    | N
 RE 201465 | MARCO AURÉLIO      | N
 RCL 846   | MARCO AURÉLIO      | N
 RE 346084 | ILMAR GALVÃO       | N
 HC 81611  | SEPÚLVEDA PERTENCE | N
 RCL 1067  | ELLEN GRACIE       | N
 HC 80659  | MAURÍCIO CORRÊA    | N
 HC 80631  | MOREIRA ALVES      | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | RE 396266 | CARLOS VELLOSO     | N | 0.274033
 2    | ADI 1571  | GILMAR MENDES      | N | 0.064083
 3    | MI 529    | CARLOS VELLOSO     | S | 0.063240
 4    | HC 80837  | CELSO DE MELLO     | N | 0.046377
 5    | HC 80721  | NÉRI DA SILVEIRA   | N | 0.046377
 6    | ADI 678   | CARLOS VELLOSO     | N | 0.044796
 7    | ADI 743   | ELLEN GRACIE       | N | 0.044795
 8    | MS 23061  | SEPÚLVEDA PERTENCE | S | 0.042161
 9    | HC 81231  | NÉRI DA SILVEIRA   | N | 0.021081
 10   | ADI 990   | SYDNEY SANCHES     | N | 0.021081
 11   | ADI 1893  | CARLOS VELLOSO     | N | 0.021081
 12   | RE 279872 | SEPÚLVEDA PERTENCE | N | 0.021081
 13   | RHC 81796 | NÉRI DA SILVEIRA   | N | 0.021081
 14   | ADI 1654  | MAURÍCIO CORRÊA    | N | 0.021081
 15   | RE 317903 | SEPÚLVEDA PERTENCE | N | 0.021081
 16   | HC 81162  | MOREIRA ALVES      | N | 0.021081
 17   | ADI 1040  | NÉRI DA SILVEIRA   | N | 0.021081
 18   | RE 258980 | ILMAR GALVÃO       | N | 0.000724
 19   | RE 291188 | SEPÚLVEDA PERTENCE | N | 0.000560
 20   | RE 318644 | ILMAR GALVÃO       | S | 0.000511
 21   | RE 290079 | ILMAR GALVÃO       | N | 0.000502
 22   | ADC 4     | SYDNEY SANCHES     | N | 0.000369
 23   | RE 298694 | SEPÚLVEDA PERTENCE | N | 0.000265
 24   | RE 298695 | SEPÚLVEDA PERTENCE | N | 0.000222
 25   | RE 298616 | GILMAR MENDES      | N | 0.000211
 26   | RE 343446 | CARLOS VELLOSO     | N | 0.000191
 27   | RE 206048 | MARCO AURÉLIO      | N | 0.000169
 28   | RE 351717 | CARLOS VELLOSO     | N | 0.000136
 29   | RE 298175 | MOREIRA ALVES      | S | 0.000128
 30   | ADI 2031  | ELLEN GRACIE       | N | 0.000122
 31   | RE 204193 | CARLOS VELLOSO     | N | 0.000116
 32   | RE 202700 | MAURÍCIO CORRÊA    | N | 0.000102
 33   | RE 272872 | ILMAR GALVÃO       | N | 0.000097
 34   | HC 81409  | NELSON JOBIM       | S | 0.000096
 35   | HC 81288  | MAURÍCIO CORRÊA    | N | 0.000094
 36   | RE 255858 | ILMAR GALVÃO       | N | 0.000090
 37   | IF 3601   | MARCO AURÉLIO      | N | 0.000071
 38   | ADI 1662  | MAURÍCIO CORRÊA    | N | 0.000069
 39   | RE 453740 | GILMAR MENDES      | N | 0.000065
 40   | RE 287297 | ILMAR GALVÃO       | N | 0.000061
 41   | HC 81380  | MAURÍCIO CORRÊA    | N | 0.000058
 42   | RE 204735 | CARLOS VELLOSO     | N | 0.000057
 43   | ADI 668   | DIAS TOFFOLI       | N | 0.000043
 44   | ADI 1922  | JOAQUIM BARBOSA    | N | 0.000042
 45   | RE 237718 | SEPÚLVEDA PERTENCE | N | 0.000039
 46   | ACO 471   | SYDNEY SANCHES     | N | 0.000038
 47   | RE 376846 | CARLOS VELLOSO     | N | 0.000035
 48   | ADI 2115  | ILMAR GALVÃO       | N | 0.000033
 49   | RMS 24651 | MARCO AURÉLIO      | N | 0.000033
 50   | IF 2915   | MARCO AURÉLIO      | N | 0.000031
 51   | RE 194382 | MAURÍCIO CORRÊA    | N | 0.000031
 52   | RE 312141 | MOREIRA ALVES      | S | 0.000030
 53   | RE 311292 | MOREIRA ALVES      | N | 0.000030
 54   | RE 312934 | MOREIRA ALVES      | S | 0.000030
 55   | RE 401436 | CARLOS VELLOSO     | N | 0.000026
 56   | ADI 1851  | ILMAR GALVÃO       | N | 0.000026
 57   | ADI 2061  | ILMAR GALVÃO       | N | 0.000025
 58   | RE 305186 | ILMAR GALVÃO       | N | 0.000023
 59   | RE 291487 | MOREIRA ALVES      | N | 0.000022
 60   | RE 244293 | ILMAR GALVÃO       | N | 0.000022
 61   | RE 189170 | MARCO AURÉLIO      | N | 0.000022
 62   | RCL 1987  | MAURÍCIO CORRÊA    | N | 0.000022
 63   | ADI 1976  | JOAQUIM BARBOSA    | N | 0.000021
 64   | ADI 1901  | ILMAR GALVÃO       | N | 0.000021
 65   | RE 268488 | MOREIRA ALVES      | N | 0.000021
 66   | RE 288304 | ILMAR GALVÃO       | N | 0.000018
 67   | ADI 872   | ELLEN GRACIE       | N | 0.000017
 68   | ADI 2050  | MAURÍCIO CORRÊA    | N | 0.000017
 69   | RE 254871 | ILMAR GALVÃO       | S | 0.000016
 70   | RE 349160 | SEPÚLVEDA PERTENCE | N | 0.000016
 71   | ADI 1878  | ILMAR GALVÃO       | N | 0.000016
 72   | ADI 2107  | ILMAR GALVÃO       | N | 0.000016
 73   | RE 207260 | CARLOS VELLOSO     | S | 0.000016
 74   | RCL 997   | MARCO AURÉLIO      | N | 0.000016
 75   | ADI 2064  | MAURÍCIO CORRÊA    | N | 0.000016
 76   | HC 82105  | CARLOS VELLOSO     | N | 0.000014
 77   | HC 81332  | NÉRI DA SILVEIRA   | N | 0.000014
 78   | ADI 892   | SEPÚLVEDA PERTENCE | N | 0.000014
