Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | ADI 2724               | GILMAR MENDES | N | 0.274366
 2    | ADI 1571               | GILMAR MENDES | N | 0.274366
 3    | RE 638115              | GILMAR MENDES | N | 0.274366
 4    | HC 110892              | GILMAR MENDES | N | 0.000075
 5    | MI 708                 | GILMAR MENDES | N | 0.000075
 6    | HC 104410              | GILMAR MENDES | N | 0.000075
 7    | RE 633703              | GILMAR MENDES | N | 0.000075
 8    | RCL 1831               | GILMAR MENDES | N | 0.000050
 9    | RCL 4374               | GILMAR MENDES | N | 0.000050
 10   | ADI 874                | GILMAR MENDES | N | 0.000050
 11   | RE 560626              | GILMAR MENDES | N | 0.000050
 12   | RE 637485              | GILMAR MENDES | N | 0.000050
 13   | ADI 1957               | GILMAR MENDES | N | 0.000050
 14   | RE 556664              | GILMAR MENDES | N | 0.000050
 15   | RMS 23586              | GILMAR MENDES | N | 0.000050
 16   | HC 82336               | GILMAR MENDES | N | 0.000050
 17   | RE 372503              | GILMAR MENDES | N | 0.000050
 18   | HC 82297               | GILMAR MENDES | N | 0.000050
 19   | RHC 117988             | GILMAR MENDES | N | 0.000050
 20   | RE 543389              | GILMAR MENDES | N | 0.000050
 21   | AGR RE 453105          | GILMAR MENDES | N | 0.000025
 22   | AGR RE 467929          | GILMAR MENDES | N | 0.000025
 23   | HC 106448              | GILMAR MENDES | N | 0.000025
 24   | AGR RE 283832          | GILMAR MENDES | N | 0.000025
 25   | AGR AI 756974          | GILMAR MENDES | N | 0.000025
 26   | AGR AI 382354          | GILMAR MENDES | S | 0.000025
 27   | AGR RE 475718          | GILMAR MENDES | N | 0.000025
 28   | AGR RE 311761          | GILMAR MENDES | N | 0.000025
 29   | AGR RE 353294          | GILMAR MENDES | N | 0.000025
 30   | RHC 117697             | GILMAR MENDES | N | 0.000025
 31   | AGR AI 638807          | GILMAR MENDES | N | 0.000025
 32   | HC 131442              | GILMAR MENDES | N | 0.000025
 33   | AGR AI 419840          | GILMAR MENDES | S | 0.000025
 34   | AGR AI 400287          | GILMAR MENDES | N | 0.000025
 35   | ED ARE 766359          | GILMAR MENDES | N | 0.000025
 36   | AGR ARE 794670         | GILMAR MENDES | N | 0.000025
 37   | AGR AI 461842          | GILMAR MENDES | S | 0.000025
 38   | ED AGR AI 416939       | GILMAR MENDES | S | 0.000025
 39   | ED RE 475370           | GILMAR MENDES | N | 0.000025
 40   | RHC 115044             | GILMAR MENDES | N | 0.000025
 41   | RCL 11305              | GILMAR MENDES | N | 0.000025
 42   | AGR RE 357045          | GILMAR MENDES | S | 0.000025
 43   | AGR AI 840377          | GILMAR MENDES | N | 0.000025
 44   | ED AGR AI 742560       | GILMAR MENDES | S | 0.000025
 45   | ED RCL 12316           | GILMAR MENDES | N | 0.000025
 46   | ADI 3739               | GILMAR MENDES | N | 0.000025
 47   | AGR ARE 676662         | GILMAR MENDES | N | 0.000025
 48   | ED AGR AI 481358       | GILMAR MENDES | S | 0.000025
 49   | ED AGR AI 428726       | GILMAR MENDES | N | 0.000025
 50   | AGR AI 828074          | GILMAR MENDES | N | 0.000025
 51   | ED RCL 11362           | GILMAR MENDES | N | 0.000025
 52   | AGR ARE 674801         | GILMAR MENDES | N | 0.000025
 53   | ED AGR AI 406993       | GILMAR MENDES | N | 0.000025
 54   | RHC 97672              | GILMAR MENDES | N | 0.000025
 55   | ED ARE 795684          | GILMAR MENDES | N | 0.000025
 56   | RE 592619              | GILMAR MENDES | N | 0.000025
 57   | ED AGR AI 335086       | GILMAR MENDES | N | 0.000025
 58   | ED AGR RE 286690       | GILMAR MENDES | S | 0.000025
 59   | MC ADI 2796            | GILMAR MENDES | N | 0.000025
 60   | MC ADPF 33             | GILMAR MENDES | N | 0.000025
 61   | AGR AI 497927          | GILMAR MENDES | N | 0.000025
